time,magnetometer,position,,volcano,,picture
seconds,abs,latitude,longitude,name,distance,id
1682186867.1194165,37.98254698290658,43.60571126108925,169.3179999574817,Buldir,0.17078535438809758,,
1682186867.6217391,38.215245804698476,43.62248011698059,169.35394233668046,Buldir,0.1703315307280333,,
1682186868.1326282,38.133573100659646,43.63943409890975,169.39033067620733,Buldir,0.16987287499022508,,
1682186868.6234183,38.22118008076023,43.65617755213071,169.42631582188454,Buldir,0.16942009461083632,,
1682186869.1336234,37.89611320085194,43.67306322126982,169.4626557489574,Buldir,0.16896365377761938,,
1682186869.6398163,37.684247930106054,43.68978091154882,169.4986829204182,Buldir,0.16851194130798683,,
1682186870.144273,38.46672997281256,43.70696109066551,169.53575747104935,Buldir,0.1680479314897361,,
1682186870.669659,38.87871648925789,43.72382640946484,169.57220270296608,Buldir,0.16759262641683903,,
1682186871.1695676,38.363639413211175,43.74094120840917,169.60923800039234,Buldir,0.16713079439079745,,
1682186871.660458,38.707327167314624,43.75760697373878,169.64535109498888,Buldir,0.16668128532035661,,
1682186872.1726277,38.57939377653365,43.774360115485024,169.68170288347065,Buldir,0.16622962906627436,,
1682186872.666414,37.95800488883951,43.79100021907799,169.71785853581608,Buldir,0.16578123281354068,,
1682186873.173793,38.238873243843926,43.80789780975695,169.7546239296136,Buldir,0.16532611966954885,,
1682186873.6733992,38.10929776577804,43.82451292554626,169.7908242714476,Buldir,0.1648788370100092,,
1682186874.1859214,37.62398932952391,43.84139556408521,169.82765796559357,Buldir,0.1644245833792054,,
1682186874.7025025,38.63520005489511,43.85798359827412,169.8638986259304,Buldir,0.16397848798125172,,
1682186875.2079918,38.51794238051039,43.875180562007806,169.9015218373814,Buldir,0.16351626428991298,,
1682186875.7155514,38.276466631270125,43.89189423248928,169.93813878616427,Buldir,0.16306727714603425,,
1682186876.2224822,38.61662733746566,43.90862015586921,169.97483314521827,Buldir,0.16261820924702436,,
1682186876.7227736,38.03119180643894,43.92515600575232,170.0111603921023,Buldir,0.16217449390768132,,
1682186877.2266703,38.692761215784316,43.942203229213945,170.04866315198714,Buldir,0.16171732154641658,,
